name
J. K. Rowling
Stephen King
Terry Pratchett
J. R. R. Tolkien
C. S. Lewis
Neil Gaiman
William Shakespeare
Nora Roberts
Agatha Christie
James Patterson
Jane Austen
Isaac Asimov
Charles Dickens
Stephenie Meyer
John Grisham
Janet Evanovich
Dr. Seuss
Orson Scott Card
Dan Brown
Anne McCaffrey
Dean Koontz
Kurt Vonnegut
Roald Dahl
Anne Rice
George Orwell
Douglas Adams
John Steinbeck
George R. R. Martin
Robert A. Heinlein
Mercedes Lackey
Charlaine Harris
Margaret Atwood
Mark Twain
Suzanne Collins
Laurell K. Hamilton
Mary Pope Osborne
Robert Jordan
Lemony Snicket
Ernest Hemingway
Michael Crichton
Haruki Murakami
Piers Anthony
Fyodor Dostoevsky
Rick Riordan
Ray Bradbury
Jim Butcher
Philip Pullman
Gabriel García Márquez
Bill Bryson
Philip K. Dick
Jodi Picoult
Ursula K. Le Guin
Patricia Cornwell
David Eddings
Tom Clancy
Carolyn Keene
F. Scott Fitzgerald
Arthur Conan Doyle
Frank Herbert
L. M. Montgomery
Arthur C. Clarke
Tamora Pierce
Michael Connelly
J. D. Salinger
Neal Stephenson
Alexander McCall Smith
Madeleine L'Engle
Umberto Eco
Nicholas Sparks
Chuck Palahniuk
Stieg Larsson
Clive Cussler
John Irving
Leo Tolstoy
R. L. Stine
Anonymous
Marion Zimmer Bradley
Laura Ingalls Wilder
Ken Follett
Diana Gabaldon
Virginia Woolf
Sue Grafton
P. G. Wodehouse
Beverly Cleary
Khaled Hosseini
Ian McEwan
Meg Cabot
Homer
Ann M. Martin
Robert Louis Stevenson
William Gibson
Larry Niven
Stan Berenstain
Oscar Wilde
Terry Brooks
David Sedaris
Lee Child
Aldous Huxley
Barbara Kingsolver
David Baldacci
Albert Camus
Vladimir Nabokov
Eoin Colfer
Margaret Weis
Eric Carle
Cormac McCarthy
Lois Lowry
William Faulkner
Paulo Coelho
Raymond E. Feist
Robin Hobb
Alan Moore
James Joyce
Franz Kafka
Hermann Hesse
H. G. Wells
Harper Lee
Sherrilyn Kenyon
Charlotte Brontë
Lewis Carroll
Lois McMaster Bujold
Mary Higgins Clark
Georgette Heyer
Joseph Conrad
Graham Greene
Jayne Ann Krentz
Reader's Digest
Louisa May Alcott
John MacArthur
DK
Jasper Fforde
Henry James
Edgar Allan Poe
Thomas Hardy
Ayn Rand
Toni Morrison
Christopher Paolini
Time-Life Books
John le Carré
Nick Hornby
Plato
Cassandra Clare
Philippa Gregory
John Piper
Jules Verne
Barbara Park
Terry Goodkind
Bernard Cornwell
Sophie Kinsella
Robert Ludlum
Judy Blume
Patrick O'Brian
Max Lucado
Diana Wynne Jones
Gregory Maguire
David Weber
C. J. Cherryh
Robert B. Parker
Philip Roth
Brian Jacques
John Green
John Sandford
Bill Watterson
Malcolm Gladwell
Isabel Allende
Christine Feehan
Tim F. LaHaye
Scott Westerfeld
Dave Eggers
Danielle Steel
R. A. Salvatore
Michael Chabon
Andre Norton
Enid Blyton
Rudyard Kipling
